"1827","1283","12","Sugar_Bowl_Bakery-12","1400.00","100","bakestore","2023-01-23 12:39:33","2023-01-23 12:39:33"
"1828","1283","16","Sugar_Bowl_Bakery-16","1600.00","100","bakestore","2023-01-23 12:39:33","2023-01-23 12:39:33"
"1829","1281","6","Bakery_Almond_Biscottini-6","500.00","100","bakestore","2023-01-23 12:39:58","2023-01-23 12:39:58"
"1830","1281","12","Bakery_Almond_Biscottini-12","1000.00","100","bakestore","2023-01-23 12:39:58","2023-01-23 12:39:58"
"1831","1284","3","Bakery_Soft_and_Chewy_Super_Rewards-3","150.00","120","bakestore","2023-01-23 12:43:08","2023-01-23 12:43:08"
"1832","1284","6","Bakery_Soft_and_Chewy_Super_Rewards-6","320.00","120","bakestore","2023-01-23 12:43:08","2023-01-23 12:43:08"
"1833","1285","6","Milk_Chocolate_Candy-6","2000.00","120","bakestore","2023-01-23 12:44:05","2023-01-23 12:44:05"
"1834","1285","12","Milk_Chocolate_Candy-12","2500.00","120","bakestore","2023-01-23 12:44:05","2023-01-23 12:44:05"
"1837","1291","2","Sunbelt_Bakery_Oats_&_Honey-2","1500.00","1252","bakestore","2023-01-23 12:50:19","2023-01-23 12:50:19"
"1838","1293","6","Voortman_Bakery_Sugar-6","2500.00","1520","bakestore","2023-01-23 12:51:44","2023-01-23 12:51:44"
"1839","1293","12","Voortman_Bakery_Sugar-12","4500.00","1520","bakestore","2023-01-23 12:51:44","2023-01-23 12:51:44"
"1840","1296","6","Nature_Cookies-6","1200.00","1020","bakestore","2023-01-23 12:54:00","2023-01-23 12:54:00"
"1841","1296","12","Nature_Cookies-12","3000.00","1020","bakestore","2023-01-23 12:54:00","2023-01-23 12:54:00"
"1842","1298","2","Vegan_&_Non_GMO,_Probiotic-2","1800.00","120","bakestore","2023-01-23 12:55:27","2023-01-23 12:55:27"
"1843","1298","3","Vegan_&_Non_GMO,_Probiotic-3","2000.00","120","bakestore","2023-01-23 12:55:27","2023-01-23 12:55:27"
"1919","1289","12","Ruger_Wafers_Austrian_Wafers-12","1000.00","100","bakestore","2023-01-25 10:39:31","2023-01-25 10:39:31"
"1920","1289","1","Ruger_Wafers_Austrian_Wafers-1","1200.00","100","bakestore","2023-01-25 10:39:31","2023-01-25 10:39:31"
