"1796","1353","RED","Allez-RED","1500.00","150","twowheeler","2023-01-25 03:25:00","2023-01-25 03:25:00"
"1797","1353","WHITE","Allez-WHITE","1500.00","150","twowheeler","2023-01-25 03:25:00","2023-01-25 03:25:00"
"1798","1353","BLACK","Allez-BLACK","1500.00","150","twowheeler","2023-01-25 03:25:00","2023-01-25 03:25:00"
"1799","1356","RED","FIT_1-RED","1200.00","120","twowheeler","2023-01-25 04:06:50","2023-01-25 04:06:50"
"1800","1356","BLACK","FIT_1-BLACK","1200.00","120","twowheeler","2023-01-25 04:06:50","2023-01-25 04:06:50"
"1801","1358","RED-AA1","Trail_8-RED-AA1","1800.00","180","twowheeler","2023-01-25 10:26:51","2023-01-25 10:26:51"
"1802","1358","BLACK-AA1","Trail_8-BLACK-AA1","1800.00","180","twowheeler","2023-01-25 10:26:51","2023-01-25 10:26:51"
"1803","1358","WHITE-AA1","Trail_8-WHITE-AA1","1800.00","180","twowheeler","2023-01-25 10:26:51","2023-01-25 10:26:51"
"1808","1363","RED-ADA","Palomar-RED-ADA","211.00","444","twowheeler","2023-01-26 04:20:58","2023-01-26 04:20:58"
"1809","1363","RED-SCDSVDF","Palomar-RED-SCDSVDF","112.00","333","twowheeler","2023-01-26 04:20:58","2023-01-26 04:20:58"
"1810","1363","WHITE-ADA","Palomar-WHITE-ADA","2120.00","222","twowheeler","2023-01-26 04:20:58","2023-01-26 04:20:58"
"1811","1363","WHITE-SCDSVDF","Palomar-WHITE-SCDSVDF","121.00","111","twowheeler","2023-01-26 04:20:58","2023-01-26 04:20:58"
